"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
Expense,package:expense_app_new/database/database.dart,32,1536,1536,0,0,0,0,0,32,1536,1536,0
ExpenseCategory,package:expense_app_new/database/database.dart,45,1440,1440,0,0,0,0,0,45,1440,1440,0
NativeLibrary,package:sqlite3/src/ffi/generated/dynamic_library.dart,1,736,736,0,0,0,0,0,1,736,736,0
ProxyElementValueNotifier,package:riverpod/src/listenable.dart,15,720,720,0,0,0,0,0,15,720,720,0
StreamProviderElement,package:riverpod/src/stream_provider.dart,5,720,720,0,0,0,0,0,5,720,720,0
ProviderElement,package:riverpod/src/provider.dart,5,640,640,0,0,0,0,0,5,640,640,0
ResultData,package:riverpod/src/result.dart,33,528,528,0,0,0,0,0,33,528,528,0
GeneratedColumn,package:drift/src/runtime/query_builder/query_builder.dart,6,480,480,0,0,0,0,0,6,480,480,0
PieChartSectionData,package:fl_chart/src/chart/pie_chart/pie_chart_data.dart,7,448,448,0,0,0,0,0,7,448,448,0
CategorySpending,package:expense_app_new/database/database.dart,14,448,448,0,0,0,0,0,14,448,448,0
StreamProvider,package:riverpod/src/stream_provider.dart,8,384,384,0,0,0,0,0,8,384,384,0
AiChatSession,package:expense_app_new/database/database.dart,12,384,384,0,0,0,0,0,12,384,384,0
FfiStatementImplementation,package:sqlite3/src/ffi/implementation.dart,7,336,336,0,0,0,0,0,7,336,336,0
Matrix4,package:vector_math/vector_math_64.dart,20,320,320,0,6,96,96,0,14,224,224,0
QueryStream,package:drift/src/runtime/executor/stream_queries.dart,5,320,320,0,0,0,0,0,5,320,320,0
_QueryStreamListener,package:drift/src/runtime/executor/stream_queries.dart,10,320,320,0,0,0,0,0,10,320,320,0
FutureProviderElement,package:riverpod/src/future_provider.dart,2,288,288,0,0,0,0,0,2,288,288,0
AsyncData,package:riverpod/src/common.dart,8,256,256,0,0,0,0,0,8,256,256,0
DriftSqlType,package:drift/src/runtime/types/mapping.dart,8,256,256,0,0,0,0,0,8,256,256,0
Provider,package:riverpod/src/provider.dart,5,240,240,0,0,0,0,0,5,240,240,0
StreamProviderFamily,package:riverpod/src/stream_provider.dart,5,240,240,0,0,0,0,0,5,240,240,0
FfiStatement,package:sqlite3/src/ffi/bindings.dart,7,224,224,0,0,0,0,0,7,224,224,0
FinalizableStatement,package:sqlite3/src/implementation/statement.dart,7,224,224,0,0,0,0,0,7,224,224,0
ConsumerStatefulElement,package:flutter_riverpod/src/consumer.dart,2,224,224,0,0,0,0,0,2,224,224,0
RenderPieChart,package:fl_chart/src/chart/pie_chart/pie_chart_renderer.dart,1,192,192,0,0,0,0,0,1,192,192,0
Variable,package:drift/src/runtime/query_builder/query_builder.dart,6,192,192,0,0,0,0,0,6,192,192,0
GenerationContext,package:drift/src/runtime/query_builder/query_builder.dart,3,192,192,0,0,0,0,0,3,192,192,0
QueryStreamFetcher,package:drift/src/runtime/executor/stream_queries.dart,5,160,160,0,0,0,0,0,5,160,160,0
SimpleSelectStatement,package:drift/src/runtime/query_builder/query_builder.dart,3,144,144,0,0,0,0,0,3,144,144,0
StateNotifierProviderElement,package:riverpod/src/state_notifier_provider.dart,1,128,128,0,0,0,0,0,1,128,128,0
StateProviderElement,package:riverpod/src/state_provider.dart,1,128,128,0,0,0,0,0,1,128,128,0
Precedence,package:drift/src/runtime/query_builder/query_builder.dart,4,128,128,0,0,0,0,0,4,128,128,0
FfiDatabaseImplementation,package:sqlite3/src/ffi/implementation.dart,2,96,96,0,0,0,0,0,2,96,96,0
OperatingSystem,package:sqlite3/src/ffi/load_library.dart,6,96,96,0,0,0,0,0,6,96,96,0
FutureProvider,package:riverpod/src/future_provider.dart,2,96,96,0,0,0,0,0,2,96,96,0
